link_id,length,width,lanes,in_top,out_top,lane_width,fork
100,58,3,1,105,111,3,False
101,84,3,1,116,121,3,False
102,131,9,3,115,109,3,False
103,23,12,4,111,"122,116",3,True
104,293,9,3,109,112,3,False
105,78,6,2,,100,3,False
106,15,3,1,121,113,3,False
107,34,9,3,123,108,3,False
108,40,9,3,107,"119,120",3,True
109,135,9,3,102,104,3,False
110,109,9,3,,123,3,False
111,121,12,4,"100,112",103,3,True
112,199,9,3,104,111,3,False
113,144,6,2,106,,3,False
114,198,3,1,119,118,3,False
115,107,9,3,,102,3,False
116,180,9,3,"118,103",101,3,True
117,136,3,1,120,,3,False
118,206,9,3,114,"116,122",3,True
119,9,3,1,108,114,3,False
120,6,3,1,108,117,3,False
121,118,3,1,101,106,3,False
122,197,3,1,"118,103",,3,True
123,59,9,3,110,107,3,False
