,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,timeid,volume
0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,1,46
1,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,2,56
2,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,3,41
3,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,4,50
4,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,5,49
5,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,6,44
6,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,7,29
7,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,8,27
8,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,9,18
9,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,10,13
10,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,11,22
11,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,12,27
12,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,13,53
13,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,14,50
14,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,15,45
15,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,16,51
16,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,17,68
17,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,18,59
18,1013.8,1018.8,327.0,1.4,19.4,74.0,0.0,19,26
19,1013.8,1018.8,327.0,1.4,19.4,74.0,0.0,20,29
20,1013.8,1018.8,327.0,1.4,19.4,74.0,0.0,21,20
21,1013.8,1018.8,327.0,1.4,19.4,74.0,0.0,22,17
22,1013.8,1018.8,327.0,1.4,19.4,74.0,0.0,23,29
23,1013.8,1018.8,327.0,1.4,19.4,74.0,0.0,24,21
24,1016.5,1021.6,39.0,3.7,21.2,57.0,0.0,25,45
25,1016.5,1021.6,39.0,3.7,21.2,57.0,0.0,26,54
26,1013.2,1018.2,348.0,1.5,24.9,67.0,0.0,27,77
27,1013.2,1018.2,348.0,1.5,24.9,67.0,0.0,28,49
28,1013.2,1018.2,348.0,1.5,24.9,67.0,0.0,29,55
29,1013.2,1018.2,348.0,1.5,24.9,67.0,0.0,30,53
30,1013.1,1018.1,341.0,1.7,20.2,94.0,0.0,31,20
31,1013.1,1018.1,341.0,1.7,20.2,94.0,0.0,32,20
32,1013.1,1018.1,341.0,1.7,20.2,94.0,0.0,33,24
33,1013.1,1018.1,341.0,1.7,20.2,94.0,0.0,34,19
34,1013.1,1018.1,341.0,1.7,20.2,94.0,0.0,35,19
35,1013.1,1018.1,341.0,1.7,20.2,94.0,0.0,36,25
36,1010.6,1015.6,91.0,2.6,26.8,57.0,0.0,37,50
37,1010.6,1015.6,91.0,2.6,26.8,57.0,0.0,38,58
38,1010.6,1015.6,91.0,2.6,26.8,57.0,0.0,39,51
39,1010.6,1015.6,91.0,2.6,26.8,57.0,0.0,40,43
40,1010.6,1015.6,91.0,2.6,26.8,57.0,0.0,41,52
41,1010.6,1015.6,91.0,2.6,26.8,57.0,0.0,42,59
42,1011.6,1016.5,33.0,1.1,21.9,84.0,0.0,43,26
43,1011.6,1016.5,33.0,1.1,21.9,84.0,0.0,44,21
44,1011.6,1016.5,33.0,1.1,21.9,84.0,0.0,45,24
45,1011.6,1016.5,33.0,1.1,21.9,84.0,0.0,46,30
46,1011.6,1016.5,33.0,1.1,21.9,84.0,0.0,47,18
47,1011.6,1016.5,33.0,1.1,21.9,84.0,0.0,48,33
48,1008.2,1013.2,96.0,4.5,27.2,61.0,0.0,49,49
49,1008.2,1013.2,96.0,4.5,27.2,61.0,0.0,50,68
50,1008.2,1013.2,96.0,4.5,27.2,61.0,0.0,51,50
51,1008.2,1013.2,96.0,4.5,27.2,61.0,0.0,52,41
52,1008.2,1013.2,96.0,4.5,27.2,61.0,0.0,53,52
53,1008.2,1013.2,96.0,4.5,27.2,61.0,0.0,54,44
54,1008.8,1013.7,317.0,1.8,21.4,88.0,0.0,55,40
55,1008.8,1013.7,317.0,1.8,21.4,88.0,0.0,56,45
56,1008.8,1013.7,317.0,1.8,21.4,88.0,0.0,57,32
57,1008.8,1013.7,317.0,1.8,21.4,88.0,0.0,58,29
58,1008.8,1013.7,317.0,1.8,21.4,88.0,0.0,59,23
59,1008.8,1013.7,317.0,1.8,21.4,88.0,0.0,60,32
